排名,城市名称,2015年GDP总量（亿元）
1,上海市,24964.99
2,北京市,22968.60
3,广州市,18100.41
4,深圳市,17502.99
5,天津市,16538.19
6,重庆市,15719.72
7,苏州市,14504.07
8,成都市,10912.17
9,武汉市,10905.06
10,杭州市,10053.58
11,南京市,9720.77
12,青岛市,9300.07
13,无锡市,8518.26
14,长沙市,8510.13
15,宁波市,8011.50
16,佛山市,8003.92
17,大连市,7700.00
18,郑州市,7315.19
19,沈阳市,7280.00
20,烟台市,6446.08
21,东莞市,6275.06
22,唐山市,6225.30
23,南通市,6148.40
24,泉州市,6137.74
25,济南市,6130.68
26,西安市,5810.03
27,哈尔滨,5751.20
28,合肥市,5660.30
29,福州市,5618.10
30,长春市,5530.03
31,徐州市,5319.88
32,常州市,5273.15
33,石家庄,5100.00
34,潍坊市,5100.00
35,温州市,4619.84
36,鄂尔多斯,4226.13
37,盐城市,4212.50
38,淄博市,4130.20
39,扬州市,4016.84
40,济宁市,4013.12
41,南昌市,4000.01
42,昆明市,3970.00
43,包头市,3781.93
44,临沂市,3763.20
45,泰州市,3655.53
46,台州市,3558.13
47,嘉兴市,3517.06
48,洛阳市,3508.75
49,镇江市,3502.48
50,厦门市,3466.01
51,东营市,3450.00
52,南宁市,3410.09
53,金华市,3406.50
54,宜昌市,3384.80
55,襄樊市,3382.12
56,绍兴市,3366.70
57,泰安市,3240.00
58,惠州市,3140.03
59,沧州市,3133.38
60,呼和浩特,3090.52
61,邯郸市,3080.00
62,中山市,3010.03
63,威海市,3001.57
64,大庆市,2983.50
65,贵阳市,2891.16
66,岳阳市,2886.28
67,南阳市,2875.02
68,漳州市,2767.45
69,保定市,2757.80
70,德州市,2750.00
71,淮安市,2745.09
72,太原市,2735.34
73,常德市,2709.02
74,乌鲁木齐,2680.00
75,聊城市,2663.62
76,榆林市,2621.29
77,衡阳市,2601.57
78,芜湖市,2457.30
79,吉林市,2455.20
80,湛江市,2450.00
81,茂名市,2445.60
82,菏泽市,2400.96
83,滨州市,2355.33
84,株洲市,2335.11
85,鞍山市,2326.00
86,柳州市,2298.62
87,江门市,2240.02
88,许昌市,2170.60
89,遵义市,2168.34
90,连云港,2160.64
91,咸阳市,2155.91
92,宿迁市,2126.19
93,兰州市,2095.99
94,湖州市,2084.30
95,周口市,2082.38
96,廊坊市,2056.00
97,枣庄市,2030.00
98,珠海市,2024.98
99,郴州市,2012.07
100,新乡市,1982.25
101,赣州市,1973.87
102,肇庆市,1970.01
103,焦作市,1943.37
104,桂林市,1942.97
105,九江市,1902.68
106,揭阳市,1890.01
107,安阳市,1884.48
108,信阳市,1877.75
109,通辽市,1877.27
110,赤峰市,1861.27
111,汕头市,1850.01
112,驻马店,1807.09
113,商丘市,1803.93
114,宝鸡市,1788.59
115,龙岩市,1738.45
116,三明市,1713.05
117,平顶山,1705.78
118,湘潭市,1703.10
119,绵阳市,1700.33
120,松原市,1680.26
121,日照市,1670.80
122,邢台市,1668.10
